terrain_type,band,polarization,thetamin,thetamax,p1,p2,p3,p4,p5,p6,m1,m2,m3
a,C,hh,0.0,50.0,-24.855,26.351,1.146,0.204,0.0,0.0,14.831,-9.0,-0.305
a,C,vv,0.0,50.0,-24.951,28.742,1.045,-1.681,0.0,0.0,4.361,4.08,15.0
a,C,hv,0.0,50.0,-26.7,15.055,1.816,-0.499,0.0,0.0,4.981,1.422,15.0
a,L,hh,0.0,50.0,-85.984,99.0,0.628,8.189,3.414,-3.142,5.6,-0.0005,-9.0
a,L,vv,0.0,50.0,-94.36,99.0,0.365,-3.398,5.0,-1.739,4.618,0.517,-0.846
a,L,hv,0.0,50.0,-30.2,15.261,3.56,-0.424,0.0,0.0,4.675,-0.521,3.187
a,Ku,hh,0.0,60.0,-95.843,94.457,0.144,-2.351,-3.556,2.08,14.099,-9.0,-0.087
a,Ku,vv,0.0,60.0,-98.32,99.0,0.129,-0.791,5.0,-3.142,13.901,-9.0,-0.273
a,Ku,hv,10.0,50.0,-99.0,46.475,-0.904,-30.0,2.986,-3.142,5.812,0.0002,-9.0
a,X,hh,0.0,80.0,4.337,6.666,-0.107,-29.709,0.863,-1.365,1.404,2.015,-0.727
a,X,vv,10.0,70.0,-42.553,48.823,0.722,5.808,3.0,-3.142,3.263,11.794,8.977
a,X,hv,0.0,70.0,-99.0,96.734,0.304,6.78,-2.506,3.142,3.944,0.064,-2.764
a,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a,S,hh,0.0,50.0,-91.2,99.0,0.433,5.063,2.941,-3.142,4.644,2.883,15.0
a,S,vv,0.0,50.0,-97.016,99.0,0.27,-2.056,5.0,-1.754,14.914,-9.0,-0.285
a,S,hv,0.0,40.0,-46.467,31.788,2.189,-17.99,1.34,1.583,4.569,0.022,-6.708
c1a,C,hh,0.0,50.0,-28.402,38.058,3.518,7.062,3.618,-2.968,3.64,4.439,15.0
