terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
a1,Ka,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,countData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,N,31.0,32.0,77.0,77.0,77.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,snmin,-5.0,-5.0,-10.0,-14.5,-17.0,NULL,-12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,snmax,1.0,0.0,8.0,0.0,-1.0,NULL,-1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,countData,[1. 2. 0. 2. 2. 6. 2. 1. 6. 7. 1. 0. 0. 1.],[1. 1. 2. 3. 3. 3. 4. 5. 4. 4. 2.],[1. 0. 2. 1. 0. 1. 3. 1. 3. 3. 3. 6. 4. 4. 8. 9. 3. 4. 5. 6. 0. 1. 1. 2. 0. 0. 1. 0. 0. 2. 0. 0. 1. 1. 0. 0. 0. 1.],[1. 1. 0. 0. 0. 1. 1. 4. 2. 1. 2. 3. 7. 2. 2. 3. 3. 4. 0. 5. 3. 2. 4. 4. 9. 3. 3. 2. 2. 1. 2.],[1. 1. 0. 1. 2. 1. 1. 0. 1. 3. 4. 1. 2. 2. 5. 4. 5. 3. 5. 3. 2. 0. 1. 2. 1. 2. 2. 0. 6. 6. 5. 4. 1.],NULL,[1. 1. 0. 3. 3. 0. 1. 1. 1. 2. 1. 2. 1. 3. 2. 1. 4. 2. 1. 1.  1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,N,32.0,32.0,39.0,48.0,59.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,snmin,-25.5,-27.5,-27.0,-28.5,-29.5,NULL,-29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,snmax,-15.5,-15.5,-8.5,-14.0,-10.5,NULL,-17.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,countData,[1. 1. 0. 1. 0. 1. 2. 1. 1. 1. 2. 1. 2. 3. 1. 1. 5. 2. 1. 2. 3.],[1. 0. 1. 2. 0. 0. 0. 3. 0. 2. 1. 0. 0. 0. 4. 3. 5. 0. 2. 2. 1. 2. 2. 1.],[1. 0. 1. 2. 1. 1. 1. 2. 1. 2. 0. 0. 3. 2. 4. 2. 1. 4. 2. 4. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1.],[2. 0. 0. 1. 1. 1. 2. 1. 1. 1. 3. 1. 3. 3. 3. 2. 3. 2. 0. 5. 7. 0. 2. 0. 1. 1. 0. 0. 1. 1.],[1. 1. 0. 1. 1. 0. 1. 2. 2. 6. 3. 4. 3. 3. 2. 2. 2. 5. 3. 2. 2. 3. 2. 2. 1. 0. 1. 2. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],NULL,[2. 3. 3. 0. 0. 0. 1. 0. 2. 1. 0. 2. 1. 1. 3. 2. 2. 2. 2. 3. 1. 0. 0. 0. 1.],NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hh,N,32.0,32.0,77.0,77.0,77.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
