terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
a1,Ka,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,N,31.0,32.0,77.0,77.0,77.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,snmin,-5.0,-5.0,-10.0,-14.5,-17.0,NULL,-12.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,vv,snmax,1.0,0.0,8.0,0.0,-1.0,NULL,-1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,N,32.0,32.0,39.0,48.0,59.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,snmin,-25.5,-27.5,-27.0,-28.5,-29.5,NULL,-29.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hv,snmax,-15.5,-15.5,-8.5,-14.0,-10.5,NULL,-17.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hh,N,32.0,32.0,77.0,77.0,77.0,NULL,32.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hh,snmin,-5.0,-5.0,-9.5,-15.0,-17.5,NULL,-12.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,L,hh,snmax,-0.5,-1.0,7.5,-1.5,-1.5,NULL,-2.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
